bytes,packets,duration,src_ip_hash,dst_ip_hash,src_port,dst_port,protocol,timestamp,log_file,log_stream,anomaly_score,z_score,is_anomaly,threat_level
1938,2,42,8570,3853,35724,25,1,1747470604027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13870780799781712,-0.9382585895033827,False,Normal
75696,38,8,4383,8819,63588,53,17,1747470610027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0876064244277307,0.06334988452338071,False,Normal
8250,10,6,3646,2845,60776,587,1,1747470618027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13290510466575078,-0.8245231791560352,False,Normal
2284,2,21,4030,2864,54537,22,1,1747470644027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.15134872074381678,-1.1860257621565666,False,Normal
1344186,954,40,9736,8524,57442,993,6,1747470647027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.013167181941162287,1.5223901465628829,False,Low
5380,10,39,2645,7413,32923,443,1,1747470648027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12271170691531774,-0.6247283232700654,False,Normal
202752,384,8,7647,285,65239,25,6,1747470651027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07821341376278251,0.24745681903979105,False,Normal
155,1,46,5603,7742,59456,3306,1,1747470662027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1452527540535154,-1.0665422674285507,False,Normal
10990,10,20,6719,4684,60467,993,1,1747470666027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14955902609923782,-1.150946999181939,False,Normal
8442,9,8,7867,6468,36923,3306,1,1747470696027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12344924730551488,-0.6391844231473863,False,Normal
540,1,22,1548,306,65353,3306,2,1747470707027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.08400393751525281,0.13396013354255928,False,Normal
495618,731,37,4320,6069,64613,27017,6,1747470751027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.05138904910467301,0.7732255766527283,False,Normal
3312,4,38,3768,1564,53008,3389,2,1747470805027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1312999260710057,-0.7930610078702428,False,Normal
1620,5,30,4458,8167,50489,143,2,1747470831027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1602752794140826,-1.3609900426397497,False,Normal
58425,779,42,7813,7482,37012,3389,6,1747470880027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09450759726795865,-0.07191598725121351,False,Normal
4578,7,20,3438,3181,37387,21,1,1747470917027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13994477576232361,-0.9625036746355375,False,Normal
488597,697,36,6024,9759,51613,53,6,1747470938027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09759095388423655,-0.13235106551234813,False,Normal
597172,92,9,3806,5791,49364,3389,17,1747470965027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.08543395602263804,0.10593117317111077,False,Normal
4296,4,47,157,8828,80,39202,2,1747470980027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.037481158222597455,1.0458260502626227,False,Low
4164,3,37,495,6607,3306,33447,1,1747471007027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07152080929922272,0.37863466346776126,False,Normal
207340,70,48,3901,1900,48869,3389,17,1747471028027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0963738116000607,-0.10849456808004651,False,Normal
7737,3,57,1921,9002,55875,80,17,1747471040027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06807591414179026,0.44615604822803456,False,Normal
1140180,930,32,3619,4105,59762,993,6,1747471096027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06710507009017203,0.46518499737039254,False,Normal
1564,4,2,318,9477,38727,21,2,1747471145027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09888512786147613,-0.15771741632142636,False,Normal
2274,6,25,6261,9375,42406,587,1,1747471162027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14057612543083964,-0.9748783919891751,False,Normal
513450,90,40,2286,9368,33233,22,17,1747471179027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07036304687815809,0.40132729076732615,False,Normal
236300,85,3,3208,4799,443,48666,17,1747471181027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.02801244766983957,1.231416734216249,False,Low
221234,67,35,2435,5921,52248,110,17,1747471186027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11818264541856216,-0.5359568251692938,False,Normal
219510,27,28,7936,1162,35919,6667,17,1747471228027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06050017501766114,0.5946437010787025,False,Normal
50310,78,39,3920,4356,39133,22,17,1747471232027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12293336704406788,-0.6290729544287403,False,Normal
608448,96,55,8415,5332,587,36799,17,1747471278027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,0.010364914084455723,1.983629063089359,True,Low
13590,10,30,4112,9246,50477,22,2,1747471343027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13944402786616078,-0.9526888066005091,False,Normal
185076,36,55,7801,78,63410,53,17,1747471356027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.04109514544085957,0.9749903904439189,False,Normal
173992,52,25,4648,2556,443,57367,17,1747471357027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.018279970913449572,1.4221773459930123,False,Low
1340,10,25,8015,7266,36359,993,2,1747471393027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13712886309499983,-0.9073106095428376,False,Normal
642798,82,27,3466,1320,61959,27017,17,1747471399027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.01610057606186921,1.4648943958865697,False,Low
2140,4,5,7540,9751,45854,443,1,1747471428027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.10773523813814162,-0.3311832763410851,False,Normal
2270,2,14,2173,5316,59698,21,1,1747471458027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1523362461879315,-1.205381673563266,False,Normal
641342,442,11,1957,795,37973,21,6,1747471483027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07943634370879943,0.22348688101665187,False,Normal
163777,199,22,7551,9671,36498,21,6,1747471492027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11185764535005516,-0.41198418051188107,False,Normal
238238,238,20,3643,8022,44267,27017,6,1747471515027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0883614667299144,0.04855073985680516,False,Normal
2704,4,15,2800,6029,3389,48790,1,1747471523027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0773050233771978,0.26526165022754566,False,Normal
209,1,2,5480,2472,42356,110,2,1747471567027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14272469420563566,-1.0169912378950685,False,Normal
1078911,939,51,500,7097,36244,53,6,1747471575027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0321642919051891,1.1500388520839233,False,Low
52320,160,10,7998,5426,39859,25,6,1747471580027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12886254430313143,-0.7452873066006299,False,Normal
5244,4,42,8253,2438,47898,21,2,1747471600027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14892730694388473,-1.1385650397318805,False,Normal
366,1,45,9363,2396,40660,80,2,1747471610027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1256456788207313,-0.6822353987680938,False,Normal
103320,30,42,3952,5474,44369,5432,17,1747471627027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11026503865478648,-0.380768423709816,False,Normal
11025,9,28,7457,3896,50750,587,1,1747471635027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1448929297964851,-1.0594895616146733,False,Normal
137088,102,25,2926,613,42604,5432,6,1747471636027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09429706383412306,-0.0677894439628803,False,Normal
5490,6,51,9858,8023,60659,80,1,1747471649027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12198058141059004,-0.6103979578288246,False,Normal
148890,70,15,2586,3252,62050,993,17,1747471671027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09430223014466654,-0.06789070580861305,False,Normal
1720,10,2,4246,9689,56891,22,1,1747471672027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1158449508076132,-0.4901370338362112,False,Normal
312255,81,29,6903,1791,60774,443,17,1747471696027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0954242523392767,-0.0898828097332807,False,Normal
426714991,260981,19,4296,4128,35477,143,6,1747471703027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,0.053745329529275465,2.833903335149728,True,Moderate
9711,9,39,2293,49,39941,53,2,1747471707027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09773589293670415,-0.13519193151296918,False,Normal
5607,7,29,5806,8398,51092,80,1,1747471744027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.15730572476479565,-1.3027855304912277,False,Normal
8552,8,51,5435,9709,53,47660,2,1747471769027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.05424270296780076,0.7172927683496453,False,Normal
172350,150,39,9139,7555,44655,80,6,1747471786027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12304296420074556,-0.6312211045019581,False,Normal
146135,55,52,7408,3220,50112,110,17,1747471804027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11142837342998663,-0.4035702714792092,False,Normal
101374,182,22,9719,5547,587,4444,6,1747471814027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.041177651728709797,0.9733732327214095,False,Normal
498267,63,22,9898,6465,41670,80,17,1747471843027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07639835788347232,0.2830326728140005,False,Normal
6660,10,46,2719,7859,48783,993,2,1747471848027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14515010588952715,-1.0645303205161367,False,Normal
2832,6,39,1069,7821,43763,443,1,1747471876027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13789982117268018,-0.9224217100605945,False,Normal
10550,10,37,7600,8992,52847,110,1,1747471899027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1409936327569014,-0.98306171006271,False,Normal
264375,705,44,1423,4805,40824,587,6,1747471930027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1104956164994309,-0.3852878458268694,False,Normal
551,1,35,8090,1343,49354,995,2,1747471940027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13493092828209358,-0.8642301686591582,False,Normal
215,5,27,1011,8227,53,36179,1,1747471996027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06714161740261582,0.464468654772811,False,Normal
267251,37,12,1701,5145,36554,443,17,1747472008027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.10348694779514944,-0.24791501019265377,False,Normal
294,2,44,8324,1088,42315,21,2,1747472055027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12585923131654714,-0.6864211169329523,False,Normal
152,1,47,5260,381,35080,143,2,1747472116027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11351933670156272,-0.4445540254477674,False,Normal
5517,9,51,1501,8904,60111,110,2,1747472139027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12034802972458586,-0.5783992625147183,False,Normal
2024,8,9,8775,6587,51272,53,1,1747472163027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1501808402751723,-1.1631348168959497,False,Normal
28104,12,50,7133,8873,3389,46091,17,1747472178027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.007035101448064296,1.6425814869182254,False,Low
645,1,29,9574,1848,35802,53,17,1747472225027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06387902071331131,0.5284169133724467,False,Normal
121240,35,51,9007,3225,36520,3306,17,1747472244027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0651143153928444,0.5042046214049783,False,Normal
606,2,51,7516,7022,59354,587,17,1747472261027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.08541634711295337,0.10627631515996398,False,Normal
198200,100,59,7506,4253,80,47163,17,1747472288027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.01264982127318226,1.5325306318682608,False,Low
2300,4,47,1281,4097,39585,110,2,1747472292027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.144301016993515,-1.0478878233070075,False,Normal
7776,32,17,2296,3817,49601,27017,6,1747472302027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09815629953187854,-0.14343207647276054,False,Normal
4461,3,20,9912,2021,43692,22,2,1747472329027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12089032380847464,-0.5890284531919654,False,Normal
865242,654,32,7004,9671,59687,21,6,1747472350027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07493129782197894,0.31178766312620343,False,Normal
3255,7,33,5586,5251,61703,80,1,1747472354027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.16363479216164806,-1.4268378964840094,False,Normal
8970,6,43,3309,9617,61132,25,1,1747472362027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1202217396405676,-0.5759239240893945,False,Normal
7413,7,24,1855,7318,50485,53,1,1747472397027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14359264721378467,-1.0340034795856823,False,Normal
2622,3,56,6732,1905,35241,587,2,1747472413027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12732025895287402,-0.7150578691908486,False,Normal
1416,2,8,7987,8083,54024,443,1,1747472436027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13368471454396003,-0.8398038585798787,False,Normal
876416,656,49,5551,1032,45842,110,6,1747472442027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.08481384099320449,0.11808568690360348,False,Normal
266548,37,21,7529,3896,55751,3306,17,1747472461027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09730352460179903,-0.12671733145546085,False,Normal
4245,3,1,7072,9953,51535,995,1,1747472483027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.10006940954340948,-0.18092983221682457,False,Normal
1398,2,56,889,3422,995,43640,1,1747472535027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.058795846301551324,0.6280492561796024,False,Normal
189616,56,8,4750,549,46544,993,17,1747472578027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.08461564386673204,0.1219704334120869,False,Normal
5744,8,13,6460,1289,55949,995,2,1747472590027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13809384272475478,-0.9262246135658432,False,Normal
90972,84,34,6934,3223,53707,27017,17,1747472595027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0661137318493133,0.48461564118670064,False,Normal
259252,788,34,3621,1312,587,33516,6,1747472607027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.0372841278233188,1.0496879284305145,False,Low
2365,5,17,7397,1601,46336,25,1,1747472614027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14127330467281124,-0.9885433964937319,False,Normal
7551,9,48,7007,7057,34744,53,2,1747472650027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13883572336891953,-0.9407657842347882,False,Normal
910,5,43,2007,2735,53813,53,2,1747472657027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14299710414944705,-1.0223305866380712,False,Normal
1278054,909,23,4952,2004,50212,21,6,1747472669027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06217401456350102,0.5618357464569858,False,Normal
3627,3,37,5214,8168,49717,53,2,1747472687027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.16191302765500654,-1.3930905926020032,False,Normal
300411,87,35,5668,4565,46661,3389,17,1747472693027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11340019459458262,-0.44221879035964085,False,Normal
250,5,11,3777,7706,40217,22,2,1747472696027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.15135419916492632,-1.18613314149983,False,Normal
2152,8,33,6159,4470,38903,3389,1,1747472757027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.15123705102510182,-1.183836989001263,False,Normal
44718,29,44,6274,4748,62069,25,17,1747472806027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12053049821853945,-0.5819757212525949,False,Normal
1120465,809,31,693,2144,38081,3306,6,1747472841027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.04113551094212531,0.9741992097497474,False,Normal
521916,69,56,7509,8363,62567,22,17,1747472854027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07731345470416162,0.26509639269547375,False,Normal
34830,43,6,2595,6930,58184,3306,6,1747472887027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13098695513847036,-0.7869266467971903,False,Normal
879393,731,24,3215,1800,60920,21,6,1747472904027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.07588266216856776,0.29314052434328985,False,Normal
5873,7,45,7561,9127,22,61713,1,1747472905027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.03670486895950187,1.0610416442425024,False,Low
462,3,41,7114,6236,42925,3306,1,1747472946027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1505371663016729,-1.1701189559294807,False,Normal
3176,4,56,1387,1882,22,48899,1,1747472956027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.05441639668856535,0.7138882988333856,False,Normal
3636,6,12,7209,5036,35652,22,2,1747472977027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14996845717388685,-1.1589720193525945,False,Normal
6930,7,28,9255,4260,61548,22,1,1747473016027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1495079654734634,-1.1499461895777405,False,Normal
194432,248,45,1444,5455,34527,587,6,1747473036027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1168566538479206,-0.5099668362324757,False,Normal
15024,12,46,5042,8922,35091,25,17,1747473045027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.09407047196661844,-0.06334814866356801,False,Normal
361420,340,39,5272,4192,47132,143,6,1747473087027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.14652974976113659,-1.0915719169740457,False,Normal
57036,291,51,9301,8997,62244,3306,6,1747473115027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06467059795204094,0.5129016686810598,False,Normal
796,2,8,3715,9803,57028,22,1,1747473134027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11062770352682855,-0.3878768067650607,False,Normal
80003,77,34,9018,37,56258,22,17,1747473140027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06162364568058715,0.5726232065697071,False,Normal
6342,6,28,8092,2369,3389,56610,1,1747473153027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.05363121120176717,0.7292782625157046,False,Normal
4854,6,58,4032,8189,52668,25,2,1747473171027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1387967856201473,-0.9400025880861692,False,Normal
105281,17,4,7101,26,36134,80,17,1747473183027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.06778191636379816,0.4519185275428668,False,Normal
368,1,38,2681,1659,58054,110,1,1747473281027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.12718972328405698,-0.7124993155291736,False,Normal
8813,7,27,8095,4785,65426,5432,2,1747473317027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.11621501814592428,-0.4973905083239329,False,Normal
23840,32,26,3050,2309,43189,443,6,1747473401027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.13365117346160477,-0.8391464393483821,False,Normal
5026,7,48,4919,9722,49465,80,1,1747473416027,eni-feda94f1-1a274087_20250517_175925.json,eni-feda94f1-1a274087,-0.1293800218184638,-0.7554300821629463,False,Normal
